Format Version,1.0,
Take Name,Take 2022-10-21 01.58.24 PM,
Capture Frame Rate,300.00,
Export Frame Rate,300.00,
Capture Start Time,21 Oct 2022 13:58:24 +0900,
Total Frames In Take,32253,
Total Exported Frames,32253,
Coordinate Space,Local,
Device Name,AMTI 3194 3194,
Device Type,2,
Device Channel Count,6,
Mocap Rate,300.00,
Mocap Rate Multiple,1.00,

PlateLength,19.750000,
PlateWidth,19.750000,
PlateOrder,1,
PosX_PosY_X,0.502139,
PosX_PosY_Y,-0.000029,
PosX_PosY_Z,0.501192,
NegX_PosY_X,-0.000017,
NegX_PosY_Y,0.000014,
NegX_PosY_Z,0.501749,
NegX_NegY_X,-0.000020,
NegX_NegY_Y,0.000034,
NegX_NegY_Z,0.000002,
PosX_NegY_X,0.502136,
PosX_NegY_Y,-0.000009,
PosX_NegY_Z,-0.000555,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz, Tz
245,0.816000,245,-13.530273,-0.780060,674.125000,50.787109,3.824219,-2.907349,-0.005673,0.075338,0.000000,-3.931115
246,0.820000,246,-13.230469,0.050697,673.812500,50.824219,3.786987,-2.808838,-0.005620,0.075428,0.000000,-3.806499
247,0.823000,247,-12.780762,0.834259,673.843750,50.714844,3.803467,-2.809448,-0.005644,0.075262,0.000000,-3.766645
248,0.826000,248,-12.769531,0.100761,673.968750,50.705078,3.802856,-2.875610,-0.005642,0.075234,0.000000,-3.835739
249,0.830000,249,-13.611816,0.449387,674.375000,50.759766,3.919800,-2.837891,-0.005812,0.075269,0.000000,-3.859831
250,0.833000,250,-13.572266,-0.081383,674.218750,50.845703,3.848022,-2.989258,-0.005707,0.075414,0.000000,-4.013265
251,0.836000,251,-12.856934,0.014700,674.093750,50.873047,3.751831,-2.991943,-0.005566,0.075469,0.000000,-3.962159
252,0.840000,252,-12.657715,0.853302,674.312500,50.806641,3.759766,-2.776367,-0.005576,0.075346,0.000000,-3.725316
253,0.843000,253,-12.648926,0.669037,674.312500,50.810547,3.832153,-2.690796,-0.005683,0.075352,0.000000,-3.640111
254,0.846000,254,-12.958008,0.514069,674.218750,50.789062,3.821533,-2.724609,-0.005668,0.075330,0.000000,-3.697825
255,0.850000,255,-13.213379,0.480576,674.593750,50.810547,3.788940,-2.575684,-0.005617,0.075320,0.000000,-3.568219
256,0.853000,256,-13.467285,0.810333,674.593750,50.847656,3.732910,-2.610596,-0.005534,0.075375,0.000000,-3.621212
